R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6167.332031,8798.78418,12416.04834,14298.50733,34343.10156,31783.57227,4,mit+bot,62.21,0.8,88.832
6758.9021,8540.617188,12249.31397,14211.2002,35451.31641,33374.95508,4,mit+bot,60.61,0.77,87.5507
6078.364258,8725.176758,12148.96484,14278.68604,33383.7207,32025.95215,4,mit+bot,61.63,0.74,85.489
5175.406739,8154.719727,12075.37549,14056.8794,34230.97266,31909.6582,4,mit+bot,59,0.73,85.6405
4962.946289,7948.510986,11357.49122,13605.71533,34325.50391,32011.26172,4,mit+bot,61.56,0.8,89.0024
5392.515137,8739.249024,12359.44141,14478.31202,35717.3086,33603.86914,4,mit+bot,60.66,0.7,83.2849
5693.279541,8971.436524,12888.46289,15471.25098,37368.06641,36460.40039,4,mit+bot,59.33,0.78,88.4725
6179.283204,7845.135986,11634.35254,13683.11133,35664.51172,33587.3418,4,mit+bot,61.56,0.85,91.7133
5325.457276,7217.308838,11090.40771,12963.8916,34429.58594,31629.94336,4,mit+bot,59.76,0.72,84.8076
6744.295411,8963.859375,12721.21338,14910.12744,36031.57032,34444.85352,4,mit+bot,60.16,0.84,91.5351
5146.193604,7661.11792,11622.5166,13807.70069,35298.46094,33354.14454,4,mit+bot,58.8,0.8,89.7313
5685.976074,8503.813477,12495.81348,14781.29053,36257.83985,34805.36133,4,mit+bot,59.77,0.78,88.353
5466.212158,7722.818115,11203.62256,12935.57617,33332.93653,30849.55371,5,mit+bot,58.76,0.76,87.48425
5281.636963,6824.375245,10003.03223,11633.99561,32899.50489,30328.07031,5,mit+bot,58.38,0.74,86.41919
4828.166504,6964.012695,10804.2832,12647.22705,35373.37891,33063.41114,5,mit+bot,59.03,0.69,83.14343
5511.360108,7629.185303,11083.20264,12982.76856,31922.52637,30134.04297,5,mit+bot,58.24,0.66,81.43422
6324.685791,7683.308106,11416.67139,13337.1875,35881.22852,33632.02344,5,mit+bot,59.61,0.75,86.66025
