R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6022.593262,7642.174317,10246.44336,12149.34229,32020.57618,29900.84473,4,top+bot,60.61,0.77,87.5507
5664.730225,7860.831543,10317.45996,12464.11865,32360.48242,30910.14844,4,top+bot,61.63,0.74,85.489
4529.393799,7680.601807,10513.52734,12682.62207,30577.98535,29010.28223,4,top+bot,59,0.73,85.6405
4450.385254,7093.366943,9840.929202,11805.77783,32154.32715,29910.02539,4,top+bot,61.56,0.8,89.0024
4443.74585,7373.724365,10122.93653,12253.63868,32093.48535,30026.31934,4,top+bot,60.66,0.7,83.2849
4978.217041,8437.783203,11198.99072,13907.27783,34773.51563,34028.64551,4,top+bot,59.33,0.78,88.4725
5621.574219,7512.279297,10197.55518,12261.66113,32302.15527,30461.5,4,top+bot,61.56,0.85,91.7133
4632.304688,6798.396485,9754.98877,11706.20069,32667.20313,30471.29493,4,top+bot,59.76,0.72,84.8076
5459.572998,7450.579102,9811.596189,11844.47607,30216.96094,28925.81836,4,top+bot,60.16,0.84,91.5351
4500.180664,7069.011719,9836.8125,11998.79639,31306.07032,29768.6377,4,top+bot,58.8,0.8,89.7313
4879.289795,7115.557373,10069.41699,12128.57715,34010.23438,32103.6836,4,top+bot,59.77,0.78,88.353
5199.308594,6860.637695,9738.006836,11343.2876,31870.73536,29185.33496,5,top+bot,58.76,0.76,87.48425
4611.722412,7021.924561,10017.95557,12042.68604,33144.37989,31182.52051,5,top+bot,58.38,0.74,86.41919
4325.564454,6628.449951,9893.419433,11770.85498,33699.99414,31607.90821,5,top+bot,59.03,0.69,83.14343
5107.02124,6130.517823,8604.315674,10201.21875,29049.41407,27006.97754,5,top+bot,58.24,0.66,81.43422
5595.016358,7367.229493,10124.48047,12151.70215,32834.64258,30792.01856,5,top+bot,59.61,0.75,86.66025
4706.665772,6532.6521,9556.348147,11288.07129,32013.53809,29501.77539,5,top+bot,59.87,0.61,77.39987
4851.404541,7143.160157,10024.13135,11958.68262,32839.16797,30572.28613,5,top+bot,57.14,0.69,83.72848
4214.022705,6513.708985,9390.128907,11411.7168,32610.8877,31248.62305,5,top+bot,61.81,0.72,84.20592
6018.609619,7728.771729,10234.60742,12236.64893,32393.16602,30400.29395,5,top+bot,62.54,0.61,76.47102
5182.046143,6385.437256,9248.610353,10897.78613,32115.60938,29288.16309,5,top+bot,58.07,0.74,86.50855
5840.010254,6747.520752,9591.342283,11466.93262,33619.54492,30934.62989,5,top+bot,59.17,0.65,80.45793
4542.672607,6502.343262,9397.848143,11327.71338,31332.21485,29753.33594,5,top+bot,59.87,0.73,85.38748
5891.797363,7400.244629,10763.11426,12704.80274,34201.81055,31360.01953,5,top+bot,60,0.78,88.29057
5253.751709,7100.944092,10151.24024,12140.37549,34265.16602,32224.875,5,top+bot,57.79,0.74,86.58936
5425.711915,7097.155518,9884.156741,11716.58301,32374.56153,30450.48438,5,top+bot,59.59,0.7,83.60894
5614.93457,6837.364991,9322.714598,10917.60742,30841.9668,28586.73047,5,top+bot,60,0.72,84.7369
4877.962159,6973.213867,9941.278319,11939.80567,32665.19239,30890.56153,5,top+bot,59.24,0.8,89.61451
5209.931641,7467.898438,10922.1294,13160.21436,35992.85352,33309.46192,5,top+bot,60.29,0.82,90.43309
5917.690918,7153.984864,10031.33545,11948.77246,31405.125,29544.00879,5,top+bot,57.96,0.73,85.94413
5164.783936,7408.904297,10293.27344,12458.92774,34028.83789,32376.05664,5,top+bot,60.76,0.72,84.51352
4524.74634,6336.1853,9345.87207,11079.00684,32053.25977,29208.59375,6,top+bot,59.25,0.6,76.8831
4770.403805,6274.48511,9017.549315,10745.35303,31777.71485,29905.74122,6,top+bot,60.45,0.52,70.0296
6132.80713,7399.70337,10108.0127,11995.96533,33348.52344,30666.54395,6,top+bot,58.74,0.58,75.5661
4830.822265,6337.268065,9081.361325,10791.60205,32859.7832,30948.70801,6,top+bot,61.75,0.6,75.997
4571.222165,6333.479495,9357.19385,11337.15234,33872.46192,31806.21778,6,top+bot,61.22,0.63,78.3824
4457.02466,6677.160645,9686.54541,11631.16357,34547.24805,32834.4961,6,top+bot,63.14,0.67,80.5457
5117.644045,6728.577635,9640.22998,11396.14356,33943.36035,31529.5625,6,top+bot,59.16,0.66,81.137
4893.896485,7197.824215,10033.39405,11934.61475,33262.54199,31172.11426,6,top+bot,61.51,0.78,87.8823
7353.791505,7350.992675,9920.693845,11594.35352,33711.05664,31103.56251,6,top+bot,58.88,0.52,70.6754
5703.238525,7494.95996,9871.805665,11906.29883,31307.5791,29627.24902,6,top+bot,58.59,0.64,79.9647
4521.42676,6896.90015,9515.694335,11552.82373,32669.21485,31155.58789,6,top+bot,58.59,0.64,79.9647
4600.4353,7522.562745,9953.114745,12255.52637,32379.08594,31654.42578,6,top+bot,60.4,0.75,86.4372
4569.230225,6422.78247,9179.6521,10962.91211,29933.37207,28071.36817,6,top+bot,58.74,0.73,85.7163
4569.230225,6606.80078,9693.23535,11633.99561,32396.68653,30066.71582,6,top+bot,59.5,0.74,86.0973
6365.850095,7066.846435,9886.72949,11612.28711,33984.5918,31388.17579,6,top+bot,58.34,0.68,82.7147
