R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,location,weight,height,HU
6106.249756,7648.669434,10645.26807,12432.02783,31344.28321,29424.65528,4,mit+top,60.61,0.77,87.5507
6130.151612,8285.697754,11608.10742,13522.1836,33106.16406,31453.66699,4,mit+top,61.63,0.74,85.489
4826.174561,7929.026611,11257.14209,13264.03858,31646.98145,29668.87012,4,mit+top,59,0.73,85.6405
4409.884766,7106.356445,10058.09522,12186.15234,32335.34278,30077.73242,4,mit+top,61.56,0.8,89.0024
4875.306397,7995.598389,11069.3086,13001.646,32480.65723,30637.16504,4,mit+top,60.66,0.7,83.2849
5563.147461,8521.132813,12032.14795,14459.90674,36266.38672,34625.41309,4,mit+top,59.33,0.78,88.4725
5658.090821,7619.984131,10590.71924,12775.12012,32001.97168,31031.33789,4,mit+top,61.56,0.85,91.7133
5243.792725,7627.020264,11387.85352,13569.37647,33797.03907,31757.25391,4,mit+top,59.76,0.72,84.8076
6006.658936,7869.491211,11094.00976,12991.26367,30824.8711,29627.25,4,mit+top,60.16,0.84,91.5351
4795.633545,7005.687744,10234.60742,12262.13282,32752.6836,31418.77832,4,mit+top,58.8,0.8,89.7313
5393.178955,7463.0271,11285.95996,13232.41943,35773.625,33494.91993,4,mit+top,59.77,0.78,88.353
5492.105713,7490.089111,10646.29737,12284.31397,33024.20508,30735.0957,5,mit+top,58.76,0.76,87.48425
4815.551758,7074.423829,10184.68994,12183.32129,33976.04297,32073.69434,5,mit+top,58.38,0.74,86.41919
4669.484864,6785.947998,10351.93896,12213.05273,35412.59961,33075.04004,5,mit+top,59.03,0.69,83.14343
5820.75586,7520.39795,10457.43433,12215.41211,30028.40333,28452.0752,5,mit+top,58.24,0.66,81.43422
6059.773926,7845.677246,11098.64111,13180.03516,33762.84766,32077.36621,5,mit+top,59.61,0.75,86.66025
5059.21753,7007.852539,10516.1001,12425.89209,33051.3584,31157.42481,5,mit+top,59.87,0.61,77.39987
5241.136963,7572.896973,10598.95313,12568.41504,34606.07618,32436.03809,5,mit+top,57.14,0.69,83.72848
5023.364502,7112.851319,10563.95898,12676.9585,34431.09473,32934.875,5,mit+top,61.81,0.72,84.20592
6647.360108,8488.118165,11246.33496,13135.20166,32663.18067,30572.89844,5,mit+top,62.54,0.61,76.47102
5632.86084,7175.09253,10477.50439,12245.14404,33675.35743,31279.22656,5,mit+top,58.07,0.74,86.50855
6456.145752,7767.73999,11235.01367,13149.83203,35003.80664,32511.93457,5,mit+top,59.17,0.65,80.45793
5252.423828,6932.621582,10327.23779,12061.09131,33093.0918,31082.13965,5,mit+top,59.87,0.73,85.38748
6419.62915,8056.757324,11816.52539,13914.35694,36437.84961,33786.26465,5,mit+top,60,0.78,88.29057
5627.549317,7165.350586,10553.66699,12473.08545,36225.15625,33980.29102,5,mit+top,57.79,0.74,86.58936
6128.159913,8065.416992,11404.3208,13370.22266,34402.4336,32269.55567,5,mit+top,59.59,0.7,83.60894
6035.87207,7557.20166,10190.35083,11902.52344,32730.5586,30973.19141,5,mit+top,60,0.72,84.7369
5438.326905,7635.679932,10861.40478,12824.67285,35013.86426,33311.29786,5,mit+top,59.24,0.8,89.61451
5300.227295,7778.564698,11682.21143,13968.62891,36862.22852,34714.77637,5,mit+top,60.29,0.82,90.43309
6546.441407,7628.643799,11046.15088,12908.2041,33400.31445,31470.80469,5,mit+top,57.96,0.73,85.94413
5333.424316,7583.180176,11452.69433,13693.49414,35379.41211,33836.45508,5,mit+top,60.76,0.72,84.51352
4252.53125,5659.105955,8389.722655,9952.51221,29553.23926,26930.46973,6,mit+top,59.25,0.6,76.8831
5199.97241,7439.213135,10869.12403,12637.78858,31793.30274,29582.56836,6,mit+top,60.45,0.52,70.0296
6057.118165,7153.44336,9861.513185,11657.12012,32121.14063,29986.53418,6,mit+top,58.74,0.58,75.5661
5009.421875,6912.595945,10238.20947,11986.99854,31613.29199,30149.34473,6,mit+top,61.75,0.6,75.997
4815.551755,6958.600585,10644.23877,12691.1167,33349.53028,31351.4502,6,mit+top,61.22,0.63,78.3824
4890.576905,7491.712405,10876.32861,12802.96387,34055.99219,32171.01172,6,mit+top,63.14,0.67,80.5457
5301.555175,7297.952145,10333.92725,12043.62988,33167.50879,31186.80274,6,mit+top,59.16,0.66,81.137
5294.251955,7867.32666,11009.61328,12908.67627,33849.33301,31953.72754,6,mit+top,61.51,0.78,87.8823
7002.567625,8321.95996,10964.32764,12730.28662,30628.77051,29136.36915,6,mit+top,58.88,0.52,70.6754
5882.5022,7684.390625,10306.65332,12261.18946,31570.04981,30153.62988,6,mit+top,58.59,0.64,79.9647
4833.478275,7543.670655,10599.46777,12607.58497,32669.7168,30997.06153,6,mit+top,58.59,0.64,79.9647
5030.667965,7831.60547,10657.104,12844.96582,34062.52735,32992.41113,6,mit+top,60.4,0.75,86.4372
4856.052005,6664.7124,9446.221435,11040.3086,30070.64161,27938.54883,6,mit+top,58.74,0.73,85.7163
4866.01123,7251.40625,10743.55908,12691.58838,32676.25489,30713.0625,6,mit+top,59.5,0.74,86.0973
7031.117185,8007.50537,11288.01856,12984.18457,34796.14258,32126.33204,6,mit+top,58.34,0.68,82.7147
5507.376465,7250.323485,10459.49268,12189.45606,34172.14356,31671.56348,6,mit+top,62.14,0.66,80.1799
5273.66992,6854.143065,9626.8501,11207.84326,32072.87012,29688.45703,6,mit+top,58.86,0.6,77.0218
5757.01758,7513.361815,10614.90577,12184.73682,32272.99219,30506.79493,6,mit+top,58.86,0.68,82.5517
4664.17358,6970.507565,10093.60376,11816.63232,30867.61035,28804.62793,6,mit+top,60,0.68,82.1952
5678.67285,7966.91284,11160.90967,13165.40576,33783.46387,32296.48633,6,mit+top,60.9,0.71,83.847
5178.72656,7177.25757,10536.68506,12314.98926,31524.29395,29449.74902,7,mit+top,58.44,0.65,80.6974
5086.438965,6468.786865,9252.21289,11025.20703,31601.72754,29450.97364,7,mit+top,58.14,0.61,78.0049
4981.536625,7355.32251,10901.03028,12882.71973,33895.08887,31944.54688,7,mit+top,59.88,0.62,78.1211
5218.56274,6558.09009,9684.486815,11482.03418,33594.90625,31373.48535,7,mit+top,58.19,0.64,80.0982
4820.199465,6153.249515,9146.717285,10799.625,30853.53223,28410.45411,7,mit+top,57.18,0.67,82.4336
5311.514405,6753.474125,9659.271,11286.65576,30064.1045,27587.2207,7,mit+top,58.69,0.69,83.2484
5407.785645,7287.6687,10391.04981,12090.35059,31848.61231,30099.15625,7,mit+top,59.04,0.6,76.9578
6582.958255,7592.92261,10636.51954,12345.66455,32995.54493,30296.85449,7,mit+top,59.04,0.73,85.6289
5915.69922,7665.98877,11009.61328,12857.23536,34043.42188,32250.58203,7,mit+top,58.76,0.67,81.9295
5405.129885,7084.707275,10465.15333,12285.7295,33017.66895,30687.3545,7,mit+top,59.53,0.67,81.6849
6146.08594,7827.275145,11264.86084,13127.65137,35309.01758,33041.37598,7,mit+top,61.73,0.65,79.6223
5567.1311,6935.868895,9974.21387,11583.9712,32316.23536,29677.43945,7,mit+top,60,0.6,76.6167
4970.249755,7697.921385,11078.57178,13144.64014,34520.59766,32956.29883,7,mit+top,59.11,0.68,82.4734
5972.798095,7489.006345,10667.396,12518.39063,33868.94141,31696.65821,7,mit+top,60,0.69,82.8447
6146.750245,7778.56494,11004.98194,12894.04639,33639.15332,31631.77832,7,mit+top,60.49,0.64,79.3329
6014.62622,7498.207515,11001.3794,12875.16895,34945.98242,32560.29004,7,mit+top,60.32,0.6,76.5032
5441.646485,7098.23804,10352.45362,12133.29688,33488.30762,31236.38282,7,mit+top,58.65,0.68,82.6175
6033.88037,7717.40576,10940.65576,12803.90772,34557.30274,32451.95313,7,mit+top,58.32,0.72,85.233
5926.986085,8554.148195,12080.00684,14337.67676,34697.58985,32833.88477,7,mit+top,61.19,0.64,79.101
5331.432615,7492.253905,11055.41407,12950.67725,36072.29883,33642.42774,7,mit+top,58.7,0.58,75.5808
6161.35669,7830.522705,11030.71289,12893.10254,34756.92285,32088.38379,8,mit+top,59.12,0.55,73.069
5432.351315,7459.78003,10492.42822,12326.7876,34321.98438,32204.67676,8,mit+top,59.7,0.57,74.4373
4556.615235,6860.096435,10417.80957,12390.02588,33935.81641,32123.27051,8,mit+top,59.2,0.51,69.6794
5188.021725,7522.02124,10595.35059,12367.84522,30988.28711,29497.49024,8,mit+top,59.47,0.58,75.2973
5728.46826,7102.026615,10617.47901,12394.27344,34387.85352,31952.50293,8,mit+top,58.65,0.53,71.6132
5886.48584,7980.985105,11460.41407,13461.30518,36087.88672,33957.64454,8,mit+top,57.55,0.53,72.0579
5140.21826,7404.574465,10669.96924,12468.83789,34970.61914,32266.4961,8,mit+top,60.15,0.55,72.6691
5311.514405,7722.27661,10764.65821,12619.85547,33760.33301,31855.18457,8,mit+top,58.66,0.56,74.0446
5490.114015,7504.160885,10506.8374,12372.09277,32776.31445,31023.99317,8,mit+top,60.3,0.6,76.5103
5046.60254,7708.746095,11497.98047,13631.19922,35331.64649,33632.02344,8,mit+top,60.39,0.68,82.0736
5384.54761,8111.42163,11374.98829,13399.95411,33942.85645,32183.25391,8,mit+top,59.42,0.6,76.8227
5255.07959,7208.10767,10184.68994,12001.62842,33233.37793,31053.9834,8,mit+top,54.64,0.68,83.8841
5711.20581,7650.83423,10636.00489,12478.74854,33301.76172,31296.97657,8,mit+top,60.86,0.66,80.59
6196.545655,8118.999025,11156.27784,13015.8042,33950.90235,32030.23536,8,mit+top,56.92,0.64,80.5231
5039.29932,6907.183835,9870.26221,11826.07031,33559.20508,31743.78711,8,mit+top,58.81,0.62,78.4889
6414.31738,8484.870605,11651.84961,13777.49756,35876.19922,34067.20606,8,mit+top,59.44,0.58,75.3084
5175.40674,8076.782955,11310.14698,13455.6416,35137.55664,33111.15235,8,mit+top,58.37,0.62,78.6404
5855.94458,8218.585205,11116.65283,13194.19336,33262.03809,31482.43262,8,mit+top,60.26,0.65,80.1014
5063.201175,7599.417235,10715.25488,12578.79736,33872.96387,31806.83106,8,mit+top,62.23,0.57,73.4926
5207.939945,7314.730225,10700.8457,12661.85743,35441.76367,33277.63477,8,mit+top,60,0.67,81.5359
5796.854005,7424.599855,10385.90332,12015.31397,30695.14356,29019.46387,9,mit+top,60,0.42,60.6026
5697.26294,7037.620115,10057.06592,11743.01123,33952.91309,31581.58887,9,mit+top,57.84,0.38,57.2976
5193.333255,7854.87842,11494.37793,13806.75684,35173.25586,33245.19532,9,mit+top,58.43,0.4,59.2421
5919.0188,7834.311525,11099.67041,13104.52637,35100.85157,32527.23731,9,mit+top,58.05,0.45,64.6469
5107.020995,7853.795655,11824.75879,14255.08936,35879.2168,34024.35938,9,mit+top,59.78,0.47,65.7744
5629.54126,8721.388185,12055.30518,14321.15967,36346.83985,34473.6211,9,mit+top,54.74,0.46,67.1619
5612.278805,8121.163575,11263.3169,13168.70899,33233.37891,31791.53028,9,mit+top,59.46,0.5,68.6862
5393.178955,7568.567135,10915.43897,13029.96143,35336.67383,33863.38672,9,mit+top,59.22,0.48,66.9693
5348.03125,7865.16162,11187.66944,13316.89453,34343.10156,32335.65918,9,mit+top,59.39,0.5,68.7162
5860.59204,8331.16089,11852.54834,13902.55859,34330.53223,32185.70118,9,mit+top,61.43,0.52,69.627
5830.050785,8540.61719,12118.60254,14395.25244,35280.35938,33715.26563,9,mit+top,59.68,0.6,76.7303
5381.89209,7654.622805,11468.64746,13596.27637,34003.69922,32122.04786,9,mit+top,57.92,0.5,69.3463
5423.720215,7739.595945,11253.53955,13307.45606,35337.17579,33458.19629,9,mit+top,60.37,0.53,70.9193
6122.848145,7551.78906,10484.7085,12297.52783,34124.37501,32059.61524,9,mit+top,58.19,0.45,64.58
6171.315675,7669.236085,11065.70606,13114.90869,35829.4375,33617.94727,9,mit+top,59.76,0.78,88.3557
5877.19067,8051.344975,11492.83448,13701.04492,35297.95703,33898.27344,9,mit+top,59.84,0.57,74.385
6938.16577,8658.605955,12248.28516,14501.43653,36858.20704,34921.65625,9,mit+top,58.28,0.6,77.2283
5361.309815,7526.35132,11191.27149,13442.42774,36474.55664,34485.86133,9,mit+top,59.13,0.56,73.8652
6573.663085,8121.70508,12047.58643,14119.17383,34985.70703,33044.43653,9,mit+top,61.17,0.6,76.2021
6028.568605,8094.10205,11503.12647,13582.59033,36981.39649,34662.1377,9,mit+top,58.74,0.51,69.8726
5838.68213,7341.250485,11016.81788,13093.2002,34144.48829,32480.71973,10,mit+top,57.88,0.44,63.7384
4798.953125,7650.29321,11193.84473,13335.29981,34402.43555,32805.72852,10,mit+top,58.65,0.48,67.224
5374.58862,7735.26636,11221.11914,13383.9087,35636.35547,34294.2832,10,mit+top,56.42,0.45,65.4248
5044.61084,7456.532715,10974.62012,13003.06153,35009.33887,33224.99707,10,mit+top,57.56,0.41,60.7946
5604.31177,7788.306885,10916.9834,13003.5337,34145.99805,32569.47071,10,mit+top,57.56,0.42,61.8528
6330.66138,7608.077145,10876.84327,12712.82569,33906.15235,31581.58887,10,mit+top,58.04,0.46,65.6208
5490.11401,8279.20288,11747.05274,13915.77295,35239.12696,33409.84277,10,mit+top,58.58,0.45,64.3939
4815.55151,6972.67261,10506.32276,12356.51904,35091.29688,32725.54688,10,mit+top,59.26,0.42,60.9821
5554.51611,7881.939695,11500.55372,13494.33985,36205.04297,34211.04102,10,mit+top,59.14,0.41,59.9654
5075.151855,7191.329835,10911.83692,12868.56202,34457.74414,32420.12598,10,mit+top,56.93,0.43,63.2005
5172.750975,7500.91333,10674.08594,12689.70117,33006.60645,31431.63086,10,mit+top,58.85,0.45,64.265
5348.03101,7420.270265,10908.74951,12874.69678,35601.66016,33497.36817,10,mit+top,58.59,0.56,74.0714
4653.55054,7373.724365,11334.33398,13531.62256,36225.15625,34020.07618,10,mit+top,60,0.55,72.7273
5458.908935,8089.23071,11364.6958,13404.20118,34030.34863,32213.24512,10,mit+top,59.87,0.55,72.7777
5209.931645,7530.13989,11106.875,13205.04737,35530.76367,33562.24707,10,mit+top,58.07,0.5,69.2819
5836.690185,7496.042235,11056.44287,12943.12695,33871.95996,31301.26172,10,mit+top,57.62,0.56,74.4422
4931.74121,7006.77002,10068.90235,11827.48633,31319.14258,29435.05957,10,mit+top,57.29,0.52,71.3307
5806.14917,8060.00464,11348.74268,13468.85596,35620.76758,33619.16895,10,mit+top,59.52,0.52,70.412
5553.852295,7391.58496,10585.57276,12546.23438,35589.5918,33182.76465,10,mit+top,57.53,0.57,75.2513
5409.777345,7612.94824,11228.83838,13427.32617,35948.60547,34029.25586,10,mit+top,58.95,0.5,68.9047
5545.88501,7447.873045,11010.12793,13071.01954,35405.56055,33185.82325,11,mit+top,57.93,0.45,64.7041
4629.648925,6902.854005,10285.55372,12210.22071,33612.00195,31179.45997,11,mit+top,57.93,0.52,71.0668
5652.115235,7650.83423,11617.88477,13732.66406,35970.22657,33015.66797,11,mit+top,59.36,0.48,66.9068
5614.27075,7789.389405,11736.76026,13944.56006,36863.73828,34381.80957,11,mit+top,57.4,0.53,72.1186
