410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,pH
624,195,1487,1387,1596,246,96,224,20,59,63,1149,45,225,321,370,793,245,3.36
652,186,1494,1424,1645,246,99,235,23,62,64,1193,43,233,331,383,820,254,3.37
624,195,1489,1387,1596,246,96,224,20,59,63,1149,45,225,321,370,793,245,3.37
654,188,1490,1422,1643,248,101,237,21,64,66,1191,45,235,333,385,818,256,3.38
654,188,1492,1422,1643,248,101,237,21,64,66,1191,45,235,333,385,818,256,3.39
622,193,1491,1389,1598,244,94,222,22,57,61,1151,43,223,319,372,791,243,3.39
638,200,1515,1414,1640,256,96,226,22,60,63,1180,42,227,325,378,806,247,3.44
651,190,1521,1421,1639,246,98,235,21,62,66,1198,45,236,333,383,819,258,3.45
622,198,1466,1371,1583,249,93,219,20,58,62,1145,44,221,316,368,786,241,3.45
651,190,1523,1421,1639,246,98,235,21,62,66,1198,45,236,333,383,819,258,3.46
640,202,1513,1412,1638,254,98,228,20,62,65,1178,44,229,327,380,808,249,3.46
622,198,1468,1371,1583,249,93,219,20,58,62,1145,44,221,316,368,786,241,3.46
640,202,1511,1412,1638,254,98,228,20,62,65,1178,44,229,327,380,808,249,3.47
649,188,1525,1423,1641,244,96,233,23,60,64,1200,43,234,331,381,817,256,3.48
620,196,1470,1373,1585,247,91,217,22,56,60,1147,42,219,314,366,784,239,3.48
645,189,1513,1377,1628,250,101,237,23,63,63,1197,43,231,329,382,821,254,3.51
649,182,1481,1400,1648,242,99,236,23,61,64,1191,43,232,329,382,822,254,3.51
647,191,1511,1375,1626,252,103,239,21,65,65,1195,45,233,331,384,819,256,3.53
651,184,1479,1398,1646,244,101,238,21,63,66,1189,45,234,331,384,824,256,3.53
647,191,1509,1375,1626,252,103,239,21,65,65,1195,45,233,331,384,819,256,3.54
651,184,1477,1398,1646,244,101,238,21,63,66,1189,45,234,331,384,824,256,3.54
654,200,1544,1437,1673,256,93,232,20,62,64,1202,44,234,338,390,813,255,3.55
654,200,1546,1437,1673,256,93,232,20,62,64,1202,44,234,338,390,813,255,3.56
614,194,1444,1352,1570,246,98,223,20,59,61,1123,44,217,311,359,779,238,3.58
652,198,1548,1439,1675,254,91,230,22,60,62,1204,42,232,336,392,811,253,3.58
649,184,1533,1403,1649,241,99,235,23,62,65,1193,43,234,329,383,817,255,3.59
614,194,1446,1352,1570,246,98,223,20,59,61,1123,44,217,311,359,779,238,3.59
651,186,1529,1401,1647,243,101,237,21,64,67,1195,45,236,331,385,819,257,3.6
632,185,1473,1379,1614,243,101,240,22,63,67,1175,46,236,329,376,820,253,3.6
651,186,1531,1401,1647,243,101,237,21,64,67,1195,45,236,331,385,819,257,3.61
632,185,1475,1379,1614,243,101,240,22,63,67,1175,46,236,329,376,820,253,3.61
617,196,1458,1358,1586,247,96,220,20,58,62,1125,45,218,306,364,779,239,3.61
612,192,1448,1354,1572,244,96,221,22,57,59,1121,42,215,309,361,777,236,3.61
664,192,1536,1424,1667,256,91,239,22,61,62,1193,41,232,334,390,809,251,3.61
635,180,1484,1398,1623,245,99,235,20,62,60,1159,40,228,329,380,814,252,3.62
617,196,1456,1358,1586,247,96,220,20,58,62,1125,45,218,306,364,779,239,3.62
635,180,1482,1398,1623,245,99,235,20,62,60,1159,40,228,329,380,814,252,3.63
615,194,1460,1360,1588,245,94,218,22,56,60,1127,43,216,304,366,777,237,3.63
666,194,1538,1422,1665,258,93,241,20,63,64,1191,43,234,336,388,811,253,3.63
666,194,1536,1422,1665,258,93,241,20,63,64,1191,43,234,336,388,811,253,3.64
651,186,1486,1418,1641,247,101,239,22,64,67,1193,46,231,333,389,822,256,3.67
651,186,1488,1418,1641,247,101,239,22,64,67,1193,46,231,333,389,822,256,3.68
637,191,1522,1413,1654,257,103,245,22,66,66,1191,45,233,333,379,806,254,3.69
635,182,1477,1391,1629,241,101,240,22,63,66,1171,46,233,328,378,812,250,3.69
614,195,1444,1355,1571,247,98,223,20,59,61,1121,40,218,310,352,778,239,3.69
637,191,1520,1413,1654,257,103,245,22,66,66,1191,45,233,333,379,806,254,3.7
635,182,1479,1391,1629,241,101,240,22,63,66,1171,46,233,328,378,812,250,3.7
614,195,1446,1355,1571,247,98,223,20,59,61,1121,40,218,310,352,778,239,3.7
651,185,1487,1424,1645,244,99,239,23,62,65,1193,44,234,331,385,828,256,3.71
670,208,1526,1448,1681,260,91,231,22,60,61,1209,43,230,334,392,800,247,3.71
653,187,1483,1422,1643,246,101,241,21,64,67,1195,46,236,333,387,826,258,3.72
653,187,1485,1422,1643,246,101,241,21,64,67,1195,46,236,333,387,826,258,3.73
672,210,1524,1446,1679,262,93,233,20,62,63,1207,45,232,336,390,802,249,3.73
672,210,1522,1446,1679,262,93,233,20,62,63,1207,45,232,336,390,802,249,3.74
635,196,1495,1400,1623,246,95,225,22,58,62,1168,42,225,324,375,799,245,3.75
637,186,1474,1373,1616,243,102,240,22,63,67,1173,46,235,329,380,813,251,3.77
648,205,1527,1423,1656,259,97,235,22,60,62,1188,43,229,330,382,816,246,3.77
637,198,1493,1398,1621,248,97,227,20,60,64,1166,46,227,326,377,801,247,3.77
637,186,1472,1373,1616,243,102,240,22,63,67,1173,46,235,329,380,813,251,3.78
650,207,1523,1421,1654,261,99,237,20,62,64,1186,45,231,332,384,814,248,3.78
637,198,1491,1398,1621,248,97,227,20,60,64,1166,46,227,326,377,801,247,3.78
650,207,1525,1421,1654,261,99,237,20,62,64,1186,45,231,332,384,814,248,3.79
654,208,1546,1442,1671,259,93,230,20,62,65,1206,46,234,339,394,812,255,3.8
652,192,1512,1407,1642,246,102,240,22,65,67,1192,46,232,334,389,821,254,3.81
654,208,1548,1442,1671,259,93,230,20,62,65,1206,46,234,339,394,812,255,3.81
652,192,1510,1407,1642,246,102,240,22,65,67,1192,46,232,334,389,821,254,3.82
646,205,1506,1412,1637,256,99,231,21,61,64,1185,46,231,331,382,820,248,3.82
646,205,1504,1412,1637,256,99,231,21,61,64,1185,46,231,331,382,820,248,3.83
644,203,1508,1414,1639,254,97,229,23,59,62,1187,44,229,329,384,822,246,3.84
668,199,1497,1450,1684,250,93,239,21,63,65,1204,46,236,339,394,818,256,3.84
639,183,1476,1374,1614,243,104,245,22,64,65,1174,44,235,330,374,816,251,3.85
668,199,1499,1450,1684,250,93,239,21,63,65,1204,46,236,339,394,818,256,3.85
