410;435;460;485;510;535;560;585;610;645;680;705;730;760;810;860;900;940;pH
635;196;1482;1403;1632;244;94;218;20;59;64;1166;46;229;327;385;801;240;10.4
635;196;1484;1402;1630;244;94;218;20;59;64;1165;46;229;327;385;801;240;10.4
635;196;1483;1403;1634;244;94;218;20;59;64;1168;46;229;327;385;801;240;10.4
635;196;1483;1405;1634;244;94;218;20;59;64;1166;46;229;327;385;801;240;10.4
631;192;1505;1381;1647;248;94;218;21;60;65;1144;45;231;328;378;804;241;10.4
631;192;1506;1380;1645;248;94;218;21;60;65;1145;45;231;328;378;804;241;10.4
631;192;1508;1379;1647;248;94;218;21;60;65;1146;45;231;328;378;804;241;10.4
631;192;1505;1379;1647;248;94;218;21;60;65;1145;45;231;328;378;804;241;10.4
635;191;1490;1404;1631;244;94;212;21;58;65;1171;46;234;330;382;808;247;10.2
635;191;1488;1401;1631;244;94;212;21;58;65;1171;46;234;330;382;808;247;10.2
635;191;1488;1403;1631;244;94;212;21;58;65;1171;46;234;330;382;808;247;10.2
635;191;1490;1401;1629;244;94;212;21;58;65;1169;46;234;330;382;808;247;10.2
638;193;1473;1396;1624;249;92;212;21;58;65;1170;46;235;328;378;814;245;10.2
638;193;1473;1397;1624;249;92;212;21;58;65;1171;46;235;328;378;814;245;10.2
638;193;1475;1396;1623;249;92;212;21;58;65;1172;46;235;328;378;814;245;10.2
638;193;1471;1396;1622;249;92;212;21;58;65;1170;46;235;328;378;814;245;10.2
639;193;1487;1386;1623;247;93;212;19;59;63;1153;45;235;329;376;743;233;10.2
639;193;1487;1388;1621;247;93;212;19;59;63;1154;45;235;329;376;743;233;10.2
639;193;1485;1386;1620;247;93;212;19;59;63;1155;45;235;329;376;743;233;10.2
639;193;1485;1388;1623;247;93;212;19;59;63;1154;45;235;329;376;743;233;10.2
637;186;1474;1363;1627;245;92;212;21;58;66;1170;47;234;332;378;817;247;10.2
637;186;1474;1362;1627;245;92;212;21;58;66;1170;47;234;332;378;817;247;10.2
637;186;1476;1363;1626;245;92;212;21;58;66;1172;47;234;332;378;817;247;10.2
637;186;1476;1360;1628;245;92;212;21;58;66;1172;47;234;332;378;817;247;10.2
634;191;1484;1381;1616;250;93;213;20;59;65;1159;44;232;331;383;812;247;10
634;191;1485;1383;1616;250;93;213;20;59;65;1161;44;232;331;383;812;247;10
629;193;1464;1376;1604;250;98;227;21;64;63;1152;44;226;323;373;786;246;10
629;193;1464;1379;1606;250;98;227;21;64;63;1153;44;226;323;373;786;246;10
629;193;1463;1378;1606;250;98;227;21;64;63;1154;44;226;323;373;786;246;10
634;191;1482;1383;1617;250;93;213;20;59;65;1159;44;232;331;383;812;247;10
634;191;1482;1382;1617;250;93;213;20;59;65;1157;44;232;331;383;812;247;10
629;193;1465;1377;1604;250;98;227;21;64;63;1154;44;226;323;373;786;246;10
638;195;1486;1399;1620;245;93;213;21;58;65;1173;45;236;331;378;815;247;10
638;195;1488;1401;1620;245;93;213;21;58;65;1171;45;236;331;378;815;247;10
638;195;1487;1401;1618;245;93;213;21;58;65;1172;45;236;331;378;815;247;10
638;195;1487;1401;1618;245;93;213;21;58;65;1170;45;236;331;378;815;247;10
621;195;1499;1408;1637;251;91;210;21;58;65;1171;45;233;332;378;811;248;9.8
621;195;1497;1407;1639;251;91;210;21;58;65;1173;45;233;332;378;811;248;9.8
621;195;1499;1405;1639;251;91;210;21;58;65;1173;45;233;332;378;811;248;9.8
621;195;1499;1407;1638;251;91;210;21;58;65;1173;45;233;332;378;811;248;9.8
646;184;1509;1410;1572;253;98;231;22;66;66;1157;47;231;329;383;808;255;9.8
646;184;1508;1411;1574;253;98;231;22;66;66;1156;47;231;329;383;808;255;9.8
646;184;1508;1411;1573;253;98;231;22;66;66;1156;47;231;329;383;808;255;9.8
646;184;1507;1410;1572;253;98;231;22;66;66;1158;47;231;329;383;808;255;9.8
649;190;1499;1413;1641;237;101;238;22;67;67;1180;47;232;327;379;815;258;9.8
649;190;1498;1410;1640;237;101;238;22;67;67;1181;47;232;327;379;815;258;9.8
649;190;1500;1412;1639;237;101;238;22;67;67;1181;47;232;327;379;815;258;9.8
649;193;1478;1379;1584;234;100;236;21;66;66;1181;46;227;326;381;812;255;9.8
649;190;1499;1414;1637;237;101;238;22;67;67;1181;47;232;327;379;815;258;9.8
649;193;1477;1380;1586;234;100;236;21;66;66;1183;46;227;326;381;812;255;9.8
649;193;1477;1380;1585;234;100;236;21;66;66;1182;46;227;326;381;812;255;9.8
649;193;1478;1377;1583;234;100;236;21;66;66;1181;46;227;326;381;812;255;9.8
648;193;1500;1409;1641;242;101;235;22;67;67;1178;47;231;330;381;815;257;9.6
648;193;1499;1407;1642;242;101;235;22;67;67;1178;47;231;330;381;815;257;9.6
648;193;1502;1411;1642;242;101;235;22;67;67;1177;47;231;330;381;815;257;9.6
648;193;1502;1407;1642;242;101;235;22;67;67;1179;47;231;330;381;815;257;9.6
638;196;1506;1410;1628;248;91;212;20;58;66;1160;47;228;332;382;812;246;9.6
638;196;1505;1410;1629;248;91;212;20;58;66;1162;47;228;332;382;812;246;9.6
638;196;1506;1412;1630;248;91;212;20;58;66;1161;47;228;332;382;812;246;9.6
638;196;1508;1409;1628;248;91;212;20;58;66;1161;47;228;332;382;812;246;9.6
646;197;1506;1408;1641;248;102;238;22;67;68;1181;48;216;313;354;817;256;9.6
