410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,pH
606,198.0,1439.0,1335.0,1548.0,204.0,108.0,282.0,52.0,116.0,101.0,989.0,90.0,246.0,297.0,363.0,698.0,249.0,3.8
558,175.0,1317.0,1191.0,1389.0,167.0,92.0,264.0,53.0,112.0,108.0,881.0,93.0,243.0,320.0,383.0,617.0,230.0,3.8
559,180.0,1322.0,1233.0,1415.0,178.0,106.0,276.0,53.0,114.0,109.0,895.0,94.0,257.0,328.0,394.0,632.0,235.0,3.82
547,182.0,1296.0,1227.0,1388.0,175.0,96.0,267.0,53.0,111.0,112.0,891.0,95.0,264.0,335.0,400.0,626.0,235.0,3.82
553,183.0,1308.0,1229.0,1405.0,180.0,99.0,272.0,52.0,114.0,108.0,897.0,94.0,254.0,326.0,390.0,631.0,234.0,3.83
543,165.0,1283.0,1209.0,1388.0,161.0,94.0,269.0,57.0,116.0,115.0,883.0,98.0,266.0,336.0,403.0,623.0,235.0,3.84
555,176.0,1314.0,1231.0,1410.0,175.0,107.0,275.0,53.0,115.0,109.0,894.0,94.0,255.0,326.0,392.0,630.0,235.0,3.85
545,180.0,1291.0,1224.0,1382.0,173.0,96.0,266.0,53.0,112.0,112.0,891.0,95.0,263.0,334.0,398.0,627.0,236.0,3.9
546,168.0,1293.0,1230.0,1388.0,167.0,94.0,266.0,54.0,114.0,106.0,882.0,95.0,244.0,308.0,381.0,623.0,229.0,3.9
537,169.0,1291.0,1204.0,1364.0,157.0,82.0,245.0,54.0,104.0,105.0,858.0,98.0,236.0,307.0,355.0,610.0,225.0,3.9
612,185.0,1430.0,1314.0,1528.0,192.0,108.0,281.0,53.0,124.0,104.0,982.0,90.0,251.0,298.0,370.0,692.0,255.0,3.9
704,578.0,1686.0,1603.0,1830.0,589.0,102.0,203.0,29.0,69.0,103.0,1246.0,120.0,275.0,419.0,500.0,846.0,226.0,3.9
550,179.0,1306.0,1223.0,1397.0,175.0,100.0,274.0,53.0,115.0,109.0,898.0,94.0,255.0,326.0,392.0,629.0,234.0,3.9
554,195.0,1312.0,1225.0,1413.0,190.0,108.0,271.0,51.0,108.0,108.0,894.0,94.0,256.0,327.0,393.0,629.0,232.0,3.9
545,187.0,1302.0,1224.0,1386.0,179.0,96.0,265.0,52.0,109.0,111.0,892.0,95.0,263.0,333.0,398.0,625.0,234.0,3.92
544,169.0,1285.0,1213.0,1384.0,163.0,94.0,270.0,56.0,117.0,115.0,890.0,97.0,266.0,337.0,404.0,626.0,235.0,3.94
554,185.0,1315.0,1230.0,1401.0,180.0,100.0,274.0,52.0,114.0,109.0,904.0,95.0,256.0,328.0,393.0,635.0,235.0,3.95
553,168.0,1314.0,1225.0,1402.0,168.0,107.0,278.0,54.0,118.0,109.0,888.0,93.0,253.0,322.0,387.0,628.0,235.0,3.98
538,169.0,1290.0,1212.0,1388.0,167.0,92.0,257.0,53.0,110.0,105.0,858.0,94.0,244.0,298.0,370.0,611.0,226.0,4.0
593,178.0,1420.0,1342.0,1507.0,189.0,108.0,285.0,56.0,125.0,106.0,993.0,91.0,255.0,315.0,348.0,704.0,258.0,4.0
527,165.0,1267.0,1184.0,1345.0,155.0,81.0,243.0,53.0,103.0,103.0,841.0,96.0,231.0,302.0,344.0,600.0,221.0,4.0
544,187.0,1288.0,1218.0,1387.0,177.0,94.0,263.0,52.0,109.0,112.0,887.0,96.0,264.0,335.0,401.0,624.0,232.0,4.0
697,586.0,1661.0,1605.0,1800.0,589.0,102.0,203.0,28.0,69.0,102.0,1251.0,121.0,269.0,421.0,499.0,849.0,224.0,4.0
557,182.0,1320.0,1228.0,1410.0,179.0,101.0,275.0,53.0,116.0,109.0,899.0,94.0,255.0,327.0,393.0,632.0,235.0,4.01
